213648,02/03/2021
500468,23/04/2020
271897,09/08/2020
901243,09/05/2020
261434,10/11/2020
347189,24/11/2020
940243,03/04/2021
990023,11/12/2020
652391,20/08/2021
986155,11/06/2021
916103,06/06/2021
623835,10/05/2021
813038,26/12/2021
131276,15/09/2020
220085,03/12/2021
748119,30/06/2020
479352,01/10/2020
308400,08/05/2021
751780,27/08/2020
385648,28/12/2021
302686,11/04/2020
483417,02/05/2021
973928,08/04/2020
341902,04/10/2020
654648,16/09/2020
838086,07/05/2021
372806,04/09/2020
884964,13/07/2020
520483,23/11/2020
678317,01/12/2021
607790,15/11/2020
216357,26/05/2020
750146,19/07/2020
675687,03/10/2021
436610,26/02/2021
231911,16/08/2021
313119,28/10/2020
946566,04/06/2021
805916,30/11/2020
216320,02/06/2021
235650,14/05/2020
418573,14/01/2021
957956,06/11/2021
312720,15/06/2020
989124,14/12/2021
904840,17/05/2020
195922,30/06/2021
405408,19/01/2020
290029,10/06/2020
277409,29/05/2021
407517,29/08/2020
828762,17/06/2021
900989,14/08/2021
977027,11/11/2021
696673,20/01/2020
433541,28/03/2021
122201,19/09/2020
586754,29/06/2021
527517,06/11/2021
118347,30/03/2021
875333,24/03/2021
356543,06/09/2020
867290,20/09/2020
838021,05/12/2021
592422,23/02/2020
682065,17/07/2021
252049,10/01/2021
263539,08/09/2021
518273,31/08/2021
562480,01/02/2020
661526,03/07/2021
369070,05/03/2020
